Continente;Ordem continente;País;Ordem país;UF;Ordem UF;Via de acesso;Ordem via de acesso;Ano;Mês;Ordem mês;Chegadas;
África;1;África do Sul;2;Amazonas;4;Aérea;1;2014;janeiro;1;0;
África;1;Angola;6;Amazonas;4;Aérea;1;2014;janeiro;1;0;
África;1;Cabo Verde;35;Amazonas;4;Aérea;1;2014;janeiro;1;0;
África;1;Nigéria;162;Amazonas;4;Aérea;1;2014;janeiro;1;0;
África;1;Outros países;998;Amazonas;4;Aérea;1;2014;janeiro;1;2;
América Central e Caribe;2;Costa Rica;53;Amazonas;4;Aérea;1;2014;janeiro;1;6;
América Central e Caribe;2;Cuba;55;Amazonas;4;Aérea;1;2014;janeiro;1;5;
América Central e Caribe;2;Guatemala;84;Amazonas;4;Aérea;1;2014;janeiro;1;1;
América Central e Caribe;2;Panamá;170;Amazonas;4;Aérea;1;2014;janeiro;1;3;
América Central e Caribe;2;Outros países;998;Amazonas;4;Aérea;1;2014;janeiro;1;13;
América do Norte;3;Canadá;38;Amazonas;4;Aérea;1;2014;janeiro;1;112;
América do Norte;3;Estados Unidos;68;Amazonas;4;Aérea;1;2014;janeiro;1;1857;
América do Norte;3;México;148;Amazonas;4;Aérea;1;2014;janeiro;1;39;
América do Sul;4;Argentina;11;Amazonas;4;Aérea;1;2014;janeiro;1;10;
América do Sul;4;Bolívia;26;Amazonas;4;Aérea;1;2014;janeiro;1;0;
América do Sul;4;Chile;42;Amazonas;4;Aérea;1;2014;janeiro;1;1;
América do Sul;4;Colômbia;48;Amazonas;4;Aérea;1;2014;janeiro;1;26;
América do Sul;4;Equador;63;Amazonas;4;Aérea;1;2014;janeiro;1;4;
América do Sul;4;Guiana Francesa;87;Amazonas;4;Aérea;1;2014;janeiro;1;0;
América do Sul;4;Paraguai;173;Amazonas;4;Aérea;1;2014;janeiro;1;0;
América do Sul;4;Peru;174;Amazonas;4;Aérea;1;2014;janeiro;1;22;
